"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.9999,0.990682309558041,91117,0.991064066852368,89750,0.137251894490031,192754,0.135036308135267,192754
"1.1","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.9995,0.990682309558041,91117,0.991064066852368,89750,0.137251894490031,192754,0.135036308135267,192754
"1.2","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.999,0.990673484166868,91138,0.991054619180768,89767,0.137286054412204,192754,0.135055990969621,192754
"1.3","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.995,0.990105799373041,91872,0.990640557583804,90390,0.140682206483528,192754,0.138194723457819,192754
"1.4","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.99,0.989517774443233,92633,0.990125761985831,91045,0.144298348893377,192754,0.14157496266942,192754
"1.5","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.95,0.976941064185159,104775,0.978177736722389,100677,0.208294494204974,192754,0.199091714858479,192754
"11","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.990793214646898,104814,0.991240989070615,103208,0.141372598168711,193709,0.138983434656835,193709
"1.11","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.990793214646898,104814,0.991240989070615,103208,0.141372598168711,193709,0.138983434656835,193709
"1.21","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.990785520103019,104835,0.991232828938446,103226,0.141407448640732,193709,0.139003189659272,193709
"1.31","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.990278935799287,105544,0.990850252340409,103828,0.144778386343291,193709,0.142131223819401,193709
"1.41","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.989650175947009,106282,0.990348617879951,104441,0.148320403529163,193709,0.145418192050137,193709
"1.51","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.977775693923481,117304,0.979077457733805,112797,0.211465161934944,193709,0.202316993143226,193709
"12","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.9999,0.986699353223451,95860,0.987271060318543,93802,0.16096326009243,192754,0.157166776888246,192754
"1.12","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.9995,0.986699353223451,95860,0.987271060318543,93802,0.16096326009243,192754,0.157166776888246,192754
"1.22","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.999,0.986691836755979,95881,0.987262979503523,93821,0.160997420014602,192754,0.1571963487955,192754
"1.32","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.995,0.985066048096563,97429,0.985841564370391,95067,0.168304269372,192754,0.163769528528405,192754
"1.42","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.99,0.983187510722251,99093,0.984132584759394,96361,0.176699024798408,192754,0.171282164435917,192754
"1.52","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.95,0.965153540338611,116712,0.967064391170881,109456,0.269988028455924,192754,0.252676189722226,192754
"13","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.9999,0.987196043412557,109185,0.987872322506387,106863,0.164916993262504,193709,0.161076834520753,193709
"1.13","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.9995,0.987196043412557,109185,0.987872322506387,106863,0.164916993262504,193709,0.161076834520753,193709
"1.23","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.999,0.987189348570591,109206,0.987865122284388,106882,0.164951843734524,193709,0.161102656513194,193709
"1.33","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.995,0.985653199779419,110617,0.986496499092357,107972,0.172173132606555,193709,0.167576108084067,193709
"1.43","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.99,0.983795738912522,112131,0.984844317306634,109068,0.1804073893989,193709,0.174910923872628,193709
"1.53","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.95,0.965759314560891,127918,0.967675,120000,0.272086749740559,193709,0.254898172537798,193709
"14","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.9999,0.967457216567537,120549,0.969149564251914,113483,0.284949554911984,192754,0.268383697657572,192754
"1.14","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.9995,0.967457216567537,120549,0.969149564251914,113483,0.284949554911984,192754,0.268383697657572,192754
"1.24","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.999,0.967454590694203,120570,0.969145918133601,113502,0.284983714834157,192754,0.268417503963663,192754
"1.34","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.995,0.9674057998625,120727,0.969147101270724,113636,0.285229085965626,192754,0.268673113984049,192754
"1.44","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.99,0.963378929685625,125010,0.965397864573515,116698,0.306891406975252,192754,0.287023970185551,192754
"1.54","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.95,0.943729725233593,144268,0.945448074706196,129253,0.413038893358476,192754,0.373258038506062,192754
"15","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.9999,0.968137853176298,131096,0.969530611088169,123501,0.287129877720251,193709,0.270621496624774,193709
"1.15","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.9995,0.968137853176298,131096,0.969530611088169,123501,0.287129877720251,193709,0.270621496624774,193709
"1.25","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.999,0.968135329514861,131117,0.969527202072539,123520,0.287164728192272,193709,0.270663303588928,193709
"1.35","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.995,0.968109495555742,131293,0.969533050333535,123675,0.287424900580105,193709,0.270947346567628,193709
"1.45","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.99,0.96400731402175,135083,0.965780130602929,126184,0.308761911767708,193709,0.289100522738137,193709
"1.55","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.95,0.943184663021279,151790,0.94473612512242,135803,0.412710373271871,193709,0.372774815963609,193709
"16","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.9999,0.95602685942832,136265,0.95771970737629,125212,0.361525429407784,192754,0.334098346286722,192754
"1.16","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.9995,0.95602685942832,136265,0.95771970737629,125212,0.361525429407784,192754,0.334098346286722,192754
"1.26","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.999,0.956026297638789,136286,0.95771813688304,125231,0.361559589329957,192754,0.334136054847248,192754
"1.36","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.995,0.955996276833549,136443,0.957716482675005,125368,0.361804960461426,192754,0.334410167550246,192754
"1.46","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.99,0.953032372480174,139841,0.954596364262945,127677,0.379667180474938,192754,0.349212494170258,192754
"1.56","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.95,0.935288450970124,154671,0.937143276894259,136135,0.465198651818514,192754,0.413448855815113,192754
"17","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.9999,0.955731863943324,144822,0.957264828675669,132935,0.362312820728805,193709,0.334579758767412,193709
"1.17","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.9995,0.955731863943324,144822,0.957264828675669,132935,0.362312820728805,193709,0.334579758767412,193709
"1.27","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.999,0.955731378112853,144843,0.957263092972705,132953,0.362347671200826,193709,0.33461752575615,193709
"1.37","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.995,0.955723043187444,145019,0.957276258160483,133111,0.362607843588659,193709,0.334933497622854,193709
"1.47","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.99,0.952450765125156,148015,0.953961313273549,134930,0.380016776516294,193709,0.349251941788261,193709
"1.57","Markov(quantile)",15,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.95,0.933521175819323,160773,0.934980983197094,140928,0.463609860510678,193709,0.410577371388039,193709
